,max_instructions,CPU_util,throughput,turnaround,response,waiting,runtime,mean_runtime,scheduler
0,2,0.6756756756756757,0.2702702702702703,1.5,2.2,13.6,0.0,0.0,fifo
1,2,0.6756756756756757,0.2702702702702703,1.5,2.2,13.6,0.0,0.0,rr
2,2,0.6756756756756757,0.2702702702702703,1.5,1.5,14.3,0.0,0.0,mlq
3,2,0.6756756756756757,0.2702702702702703,2.2,1.0,14.1,0.0,0.0,cfs
4,2,0.6756756756756757,0.2702702702702703,1.5,2.2,13.6,0.015003442764282227,0.0015003442764282226,ml_prio
5,20,0.7631578947368421,0.32894736842105265,1.32,3.92,140.34,0.000995635986328125,9.95635986328125e-06,fifo
6,20,0.7631578947368421,0.32894736842105265,1.96,3.04,140.58,0.0,0.0,rr
7,20,0.7631578947368421,0.32894736842105265,1.74,2.9,140.94,0.005792856216430664,5.792856216430664e-05,mlq
8,20,0.7631578947368421,0.32894736842105265,2.86,2.18,140.54,0.0035598278045654297,3.55982780456543e-05,cfs
9,20,0.7631578947368421,0.32894736842105265,2.23,4.34,139.01,0.08513545989990234,0.0008513545989990235,ml_prio
10,200,0.7388258839226151,0.333555703802535,1.215,5.654,1484.156,0.009745359420776367,9.745359420776367e-06,fifo
11,200,0.7388258839226151,0.333555703802535,2.056,4.264,1484.705,0.009551048278808594,9.551048278808594e-06,rr
12,200,0.7388258839226151,0.333555703802535,1.544,5.029,1484.452,0.04412031173706055,4.412031173706055e-05,mlq
13,200,0.7388258839226151,0.333555703802535,2.803,3.199,1485.023,0.041936635971069336,4.193663597106934e-05,cfs
14,200,0.7388258839226151,0.333555703802535,1.993,3.882,1485.15,0.983234167098999,0.000983234167098999,ml_prio
15,2000,0.7361615623021295,0.3332555736994701,1.209,5.3908,14906.5487,0.07675862312316895,7.675862312316894e-06,fifo
16,2000,0.7361615623021295,0.3332555736994701,2.041,4.1716,14906.9359,0.08103489875793457,8.103489875793457e-06,rr
17,2000,0.7361615623021295,0.3332555736994701,1.5553,4.906,14906.6872,0.22575879096984863,2.2575879096984864e-05,mlq
18,2000,0.7361615623021295,0.3332555736994701,2.7138,3.3506,14907.0841,0.3086850643157959,3.086850643157959e-05,cfs
19,2000,0.7361615623021295,0.3332555736994701,2.1308,4.1853,14906.8324,5.146967649459839,0.0005146967649459839,ml_prio
